07-05-2023 18:16:29 | INFO | Starting
07-05-2023 18:17:09 | INFO | Shutdown recognized
07-05-2023 18:17:09 | DEBUG | Delete Shutdown-Key from db
07-05-2023 18:17:09 | INFO | Backup skipped
07-05-2023 18:17:09 | INFO | Started shutdown
07-05-2023 18:18:39 | INFO | Starting
07-05-2023 18:25:54 | INFO | Shutdown recognized
07-05-2023 18:25:54 | DEBUG | Delete Shutdown-Key from db
07-05-2023 18:25:54 | INFO | Backup recognized
07-05-2023 18:25:54 | INFO | Creating backup
07-05-2023 18:25:54 | DEBUG | base_path: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1
07-05-2023 18:25:54 | DEBUG | backupPaths: ['\\logs', '\\world', '\\world_nether', '\\world_the_end', '\\plugins']
07-05-2023 18:25:54 | DEBUG | targetPath: E:\backups_mc\2023-07-05 18.25.54
07-05-2023 18:25:55 | INFO | Start to backup: \logs
07-05-2023 18:25:56 | INFO | |--------File: 8303e712-e9c9-37e8-8999-8044bb1fc290.json
07-05-2023 18:25:56 | INFO | |--------File: af532a70-5211-4d79-8f37-0f133d4d7e6b.json
07-05-2023 18:25:56 | INFO | |--------File: ce0fc093-9e6c-47b1-b1c8-a98f2da2d02b.json
07-05-2023 18:25:56 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\data
07-05-2023 18:25:56 | INFO | |--------File: idcounts.dat
07-05-2023 18:25:56 | INFO | |--------File: map_0.dat
07-05-2023 18:25:56 | INFO | |--------File: map_1.dat
07-05-2023 18:25:56 | INFO | |--------File: map_2.dat
07-05-2023 18:25:56 | INFO | |--------File: map_3.dat
07-05-2023 18:25:56 | INFO | |--------File: raids.dat
07-05-2023 18:25:56 | INFO | |--------File: random_sequences.dat
07-05-2023 18:25:56 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\datapacks
07-05-2023 18:25:56 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\datapacks\bukkit
07-05-2023 18:25:56 | INFO | |--------File: pack.mcmeta
07-05-2023 18:25:56 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\entities
07-05-2023 18:25:56 | INFO | |--------File: r.-1.-1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.-2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.0.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-1.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-2.-1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-2.-2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-2.0.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-2.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-3.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.-4.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.-1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.-2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.-3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.0.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.0.4.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.-1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.-2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.-3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.-4.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.0.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.2.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.4.mca
07-05-2023 18:25:56 | INFO | |--------File: r.1.5.mca
07-05-2023 18:25:56 | INFO | |--------File: r.2.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.2.4.mca
07-05-2023 18:25:56 | INFO | |--------File: r.2.5.mca
07-05-2023 18:25:56 | INFO | |--------File: r.3.-1.mca
07-05-2023 18:25:56 | INFO | |--------File: r.3.0.mca
07-05-2023 18:25:56 | INFO | |--------File: r.3.3.mca
07-05-2023 18:25:56 | INFO | |--------File: r.3.4.mca
07-05-2023 18:25:56 | INFO | |--------File: r.6.-4.mca
07-05-2023 18:25:56 | INFO | |--------File: r.6.-5.mca
07-05-2023 18:25:56 | INFO | |--------File: r.7.-5.mca
07-05-2023 18:25:56 | INFO | |--------File: r.7.-7.mca
07-05-2023 18:25:56 | INFO | |--------File: r.8.-7.mca
07-05-2023 18:25:56 | INFO | |--------File: r.9.-6.mca
07-05-2023 18:25:56 | INFO | |--------File: r.9.-7.mca
07-05-2023 18:25:56 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\generated
07-05-2023 18:25:56 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\generated\minecraft
07-05-2023 18:25:56 | INFO | |----Folder: C:\Users\balus\OneDrive\Desktop\mc-docker-1.20.1\world\generated\minecraft\structures
07-05-2023 18:25:56 | INFO | |--------File: base1.nbt
07-05-2023 18:25:56 | INFO | |--------File: base2.nbt
07-05-2023 18:25:56 | INFO | |--------File: beacon.nbt
